series,edition,page,table,header
지방세,1954,260,"155. 지방세 징수상황(시, 도, 세)",248 보3 ⏐ 154 ⏐ *람동고 1282A 보2 (1949) 치활원리 1783피1롯2소로 (1750) ⏐ 1왔 활의#년 쌈을 1효 때면 야번 때과 ⏐ 1 001.) 1157.1 2435 4 2580.3 8ait.1 99435 ⏐ ㅅ 1342.0 558.7 ⏐ 발 3 2 47 ⏐ 564 0 130.6 ⏐ ⅜F쭵및 60.7 371.3 ⏐ 10237 56.8 ⏐ 붙 30 06 ⏐ 94
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액","334 ₩⅓*①®#파 ⏐ 296¥‡카,*비-ㅆ쥴ㅲㅶㅅㅶㅂ ⏐ REVENUES AND EXPENDITURES IN GENERAL ACCOUNT BY PROVINCES ⏐ 모산 : 키때 In thousands of hwvan ⏐ 렸 ㅈ ⏐ 속면,#업카및치제 Reverues Expanditures ⏐ ㄿ :# 휴 ,합국난 주 ⏐ Year and province Budget Settled accounts, Budget Settled accounts x×10 ⏐ (A) (8) Raiio (A) (B) Raiio ⏐ 1957 72 823 358 62 474 690 85.7 72 823 368 62 498 615 84.4 ⏐ 1958 85 037 394 79 812 224 93.8 85 037 397 77 168 250 90.7 ⏐ 1959 97 030 040 95 059 710 97.9 97 030 038 90 825 709 93.6"
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액","334 ₩⅓*①®#파 ⏐ 296¥‡카,*비-ㅆ쥴ㅲㅶㅅㅶㅂ ⏐ REVENUES AND EXPENDITURES IN GENERAL ACCOUNT BY PROVINCES ⏐ 모산 : 키때 In thousands of hwvan ⏐ 렸 ㅈ ⏐ 속면,#업카및치제 Reverues Expanditures ⏐ ㄿ :# 휴 ,합국난 주 ⏐ Year and province Budget Settled accounts, Budget Settled accounts x×10 ⏐ (A) (8) Raiio (A) (B) Raiio ⏐ 1957 72 823 358 62 474 690 85.7 72 823 368 62 498 615 84.4 ⏐ 1958 85 037 394 79 812 224 93.8 85 037 397 77 168 250 90.7 ⏐ 1959 97 030 040 95 059 710 97.9 97 030 038 90 825 709 93.6"
지방세,1970,493,340. 시도별 지방세징수,"Emance 473 ⏐ 339 국세 부가세 ⏐ ADDITIONAL TAX ⏐ 단위 천원 In thousand wom.- ⏐ 설윤부산물 비 휼 %) ⏐ 시 도 벌 총 액 시 세 1군 세 Rato ⏐ Provnce Total Seoul, Busen Cittes Gun 합 Toal 계 (서운궁간물도 시 cia 에 Seoul, Busan 군 세 ⏐ and province and pravince Gun ⏐ 1969 35 914 34 216 443 | 255 100.0 100.0 100.0 100.0 ⏐ 서울특별시 City of Soou 26 226 26 226 - - 73.0 7.6 - - ⏐ 부산시 Buscn Cmy 6 266 6 266 - - 17.4 18.3 - - ⏐ 경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6"
지방세,1972,326,179. 시ㆍ도별 지방세 징수,"324-조 세 ⏐ 177. 직 접 세 징 수 ⏐ 단위 :100만원. ⏐ 총 계 소 득 세 Persongl Income tax ⏐ 계 갑종배당이 병종배당이 갑종근로 을총근로 ""Glokatft 타 ⏐ Total Total Real estate 자 Dvdend & 자 Dvidend ncome type Aimcome type B Wage & salary Wage& salary ⏐ Interesi type A|Iniorast typo C ⏐ 96 ) 558 4 572 •.• 187 1 973 •. g: ⏐ 96 12 49: 5938 83 3 508 - ⏐ 1964 17 187 8 615 4 491 73 17 ⏐ 1965 23 458 11 668 5 886 127 - 33 ⏐ 1966 41 083 20 305 9 441 181 1 60"
지방세,1973,324,176. 시ㆍ도별 지방세 징수,322-조 세 ⏐ 174. 직 접 세 징수 ⏐ 단위 : 100만원 ⏐ 총 계 소 득 세 Personal income tax ⏐ 계 부동산자 Dwidend & 자 Diwvidend. |갑종배당이 | 병종배당이 사 업 감종근로 을종근로 종 기 타 ⏐ Sub-total Total Real esiate interest tvpe Ainterest typa C Business Wage & salary Wage & salary others ⏐ Jincome type Aincome type B ⏐ 9 558 •.. •*. •.. •.. - ⏐ 12 492 - ⏐ 17 187 ⏐ 23 458 ⏐ 41 083
지방세,1974,262,158. 시ㆍ도별 지방세 징수,"262-조 세 ⏐ 156. 직 접 세 징 수 ⏐ 단위 : 100만원 ⏐ 총 계 소 득 제 Persongl income tax ⏐ 갑종배당이 병종배당이 자종근로 운종군로 종 ⏐ 계 부동,산자 Dividend & r gividenee Wage & sclary, Wage & salary 합 타 ⏐ Sub-total Real estate linterest tYpa A inierest typa C Bus tness income type Aincome type B Global Others ⏐ •• ••• # ⏐ 83 = ⏐ 127 ⏐ 181 ⏐ 286"
지방세,1975,266,158. 시ㆍ도별 지방세 징수,264-조 세 ⏐ 156. 직 접 세 징 수 ⏐ 단위 : 100만원 ⏐ 총 계 소 득 세 Personal income tax ⏐ 계 부 동 사)_갑종배당이.병종배당이x 자 Dividend&자 Dividend & 업갑종근로 을송근로종 Woge & salaryWage & salary 합 기 타 ⏐ Total Sub-total Real estafeinterest type Alinterest typeC Business income type Alincome type B Global Others ⏐ 83 55 ⏐ 73 1 ⏐ 127 ⏐ 181 ⏐ 286 - ⏐ 156
지방세,1976,284,164. 시ㆍ도별 지방세 징수,282--재 ⏐ 163. 세목 별 지 방세 징 수 ⏐ Local Tox Collection by Tax ⏐ 단위 : 100만원 In milion won ⏐ 총계 손득 0 |법인니 ! 주민세 영업 2 취 • 자동차 유흥음식 도 축 • 면허 마 코 재산 • 농지목적 ⏐ Persondl Copora- i lnhabi- Aquisit Autom- lont & re- hter Entartainm slaug- Permi- Pari ⏐ Total I income tion income tant Businass ion obile ssIon matsel I Propa:ty| Agrarian Objective ⏐ staur ant ⏐ 19 63 7 400 561 303 492 618 585 335 139 417 437 827 3 067 53 ⏐ 1964 8 824 387 644 873 716 384 189 391 726 3 590 94 ⏐ 6 5 11 352 568 871 1 693 846 706 172 470 791 3 977 119 ⏐ 16 152 981 1 399 2 550 1 080 1 270 190 555 14 1 044 4 964 204
지방세,1977,507,295. 시ㆍ도별 지방세 징수,Public Finance- 507 ⏐ 294. 지 방 세 징 ⏐ Local Tcx Collection ⏐ 단위 : 100만원 In milion won_ ⏐ 총 계 특별시 및도세 시 세 군 세 ⏐ Totai Specidl city & Province si Gun ⏐ 808809988980 8060660~~~~지m 34567880~2345 7 400 3 278 672 3 452 ⏐ 8 824 3 997 780 4 047 ⏐ !! 35? 5 631 979 4 743 ⏐ 16 152 8 755 1 451 5947 ⏐ 14 099 8 497 1 374 4 228 ⏐ 19 357 12 557 2 264 4 535
